Strain_1,Strain_2,Replicate,N10,N20,r1,r2,a11,a12,a21,a22
L.plantarum,S.cerevisiae,1,2945.18217866884,230041.107071709,0.341620733013468,0.13283829944502,-1.55525430560783e-09,-5.09679659465773e-08,-2.30538578171463e-16,-2.47179814204192e-08
L.plantarum,S.cerevisiae,2,260.127750703631,5848.6545419492,0.412267278876311,0.233277033431981,-8.91159708290459e-09,-3.53828670508866e-08,-3.14178630419162e-10,-4.11986661334353e-08
L.plantarum,S.cerevisiae,3,7.37614561798768,3695.25173107273,0.56286156532124,0.232268581178761,-1.87057540204277e-08,-1.20235663903748e-08,-9.61302811932697e-11,-3.21316495161052e-08
L.plantarum,W.anomalus,1,32.7289935147707,427.006085076508,0.517588032647194,0.43228229690722,-2.61628075222168e-09,-2.70487960871156e-08,-3.58877247701879e-09,-2.26932725610151e-08
L.plantarum,W.anomalus,2,809.116360314587,28368.3120778963,0.34759826664394,0.232626496252468,-3.75094478254514e-09,-1.15528611205965e-08,-3.98172897696783e-09,-6.94399941645393e-09
L.plantarum,W.anomalus,3,814.470358257815,324917.426639509,0.353338508338415,0.11646453903567,-1.27159397577144e-08,-1.20760372605873e-09,-2.8332124935682e-09,-1.212383609957e-09
L.plantarum,K.humilis,1,14.9685145334771,69.2205478492773,0.547050892087905,0.59022033346395,-2.60374105920524e-08,-4.51131090638265e-09,-1.64872243378332e-08,-8.12365419103778e-08
L.plantarum,K.humilis,2,37.7771673502816,46649.37948661,0.479286410065677,0.21234406955824,-1.98034291102072e-08,-1.00276517811688e-08,-1.2112803324113e-10,-6.79762646868352e-08
L.plantarum,K.humilis,3,10616.0611569437,2180.67480711822,0.246058770584429,0.233824139810141,-6.06007234983842e-09,-3.10418518844423e-08,-8.10874449368286e-09,-1.1063156586605e-08
L.plantarum,K.servazzii,1,216.910807948529,60.7659350110951,0.394276744475115,0.475994014452632,-1.87378822490481e-08,-2.65769020882081e-08,-3.63281289529299e-08,-3.6968621247384e-08
L.plantarum,K.servazzii,2,4096.22961971142,641.497451502437,0.319902728581112,0.404451697386048,-1.35323469060106e-08,-2.12357524099397e-08,-1.74450600404157e-08,-6.4318011997016e-08
L.plantarum,K.servazzii,3,881.075992520285,1814.17982126798,0.359014930465871,0.40122972139796,-1.53649616761141e-08,-2.72912301571545e-08,-1.47716987831698e-08,-1.0249433575871e-07
A.malorum,C.paralimentarius,1,1446.88072379867,35.0192120790231,0.252932265345159,0.317003056625063,-2.64005648635665e-09,-1.6336972062718e-08,-6.85822129188853e-10,-1.67043350820677e-08
A.malorum,C.paralimentarius,2,21.7161929119828,3.69768439618148,0.344433696064829,0.351381826551733,-4.00955624694174e-09,-1.7878711655072e-08,-3.29823729611273e-13,-1.42664137664333e-08
A.malorum,C.paralimentarius,3,0.111149005976387,425.210300958089,0.480085444436979,0.230236485084733,-3.07684502744395e-09,-4.66143231666461e-08,-1.41191273434179e-09,-9.70797988144411e-09
A.malorum,S.cerevisiae,1,60570.0151584329,41027.4029278832,0.261748918171357,0.187904263305489,-6.95547383682809e-09,-7.95289726449483e-08,-2.69235902555999e-10,-8.28486073288652e-08
A.malorum,S.cerevisiae,2,109555.425869852,12948.4087747941,0.198407554370349,0.22907446575731,-1.63164337301439e-09,-5.11345070445554e-08,-1.28624221300282e-09,-6.75106689111607e-08
A.malorum,S.cerevisiae,3,77195.5882072368,1118.17993761567,0.204125486077345,0.321194851437064,-6.35136783146638e-09,-4.52504723601672e-08,-4.45833477765297e-09,-1.1172791582739e-07
A.malorum,W.anomalus,2,6483.64535299284,1044.8969175137,0.277857305896441,0.397938248732935,-1.68210662162998e-08,-4.61641142205793e-09,-1.03624224359004e-09,-3.89409798252423e-08
A.malorum,W.anomalus,3,40479.2636868319,9784.51300258134,0.23635562333281,0.265966381906307,-1.82129983707179e-08,-8.50161285033413e-11,-5.6128862532653e-09,-1.74140116670696e-08
A.malorum,K.humilis,1,15760.4124743043,13978.5533138691,0.272537315216968,0.207949094415034,-1.56080664594577e-08,-1.7399390965664e-08,-1.21848403656403e-08,-7.72768401868121e-09
A.malorum,K.humilis,2,189.319615393036,259.734583783936,0.485174811276152,0.402405382210424,-1.55786689714536e-08,-1.07757954802302e-07,-9.77025491253963e-09,-1.02434721229772e-07
A.malorum,K.humilis,3,29345.2464159525,4245.09341761192,0.249431161262831,0.302739449823072,-2.71642832171934e-09,-1.04571385415514e-07,-1.51029329308503e-09,-1.579224768806e-07
A.malorum,K.servazzii,1,3677.67717091048,4.1369916299494,0.339153413820667,0.64430329769699,-3.3409952696444e-08,-2.93678077327797e-10,-3.33113580985721e-08,-2.05008812116254e-07
A.malorum,K.servazzii,2,582.671172908008,2360.13912637315,0.495619057767421,0.340268891538252,-2.56832053977882e-08,-1.61927622643964e-07,-2.35566852774614e-08,-8.60673762572946e-08
A.malorum,K.servazzii,3,15802.9172003888,136961.11990468,0.30718264101345,0.120851121923049,-1.39060850525865e-08,-1.29600187890169e-07,-1.26182890527534e-08,-3.00211397857435e-08
C.paralimentarius,S.cerevisiae,1,1338.64128260527,497.192937844839,0.312954652891643,0.387252090954717,-1.19220638797849e-08,-6.09301553475309e-08,-1.9120491575401e-08,-8.71955523829835e-08
C.paralimentarius,S.cerevisiae,2,256.296889246387,65.6574969206419,0.322207857315155,0.4045422860019,-3.77808339666416e-08,-2.19925663240187e-13,-7.1143142134225e-12,-1.08656163521057e-07
C.paralimentarius,S.cerevisiae,3,5958.45412178469,105.246074761791,0.241191607006459,0.455786519822841,-3.15648949046496e-09,-5.85225302654882e-08,-2.13156763518671e-09,-1.51161939419472e-07
C.paralimentarius,W.anomalus,1,48.1066642781031,0.0600755773944861,0.217929092198994,0.669322097266274,-1.77059353524265e-07,-1.5837783677819e-09,-2.20328014113055e-09,-4.47487820774427e-08
C.paralimentarius,W.anomalus,2,1139.56996986139,2110.24319616255,0.188006969878133,0.37064376917401,-2.22274956502974e-07,-5.41363849831364e-09,-1.70808970535945e-07,-2.53360442566419e-08
C.paralimentarius,W.anomalus,3,5161.10879131806,19.0280271190987,0.123817640763464,0.49515786910388,-3.92458127975441e-08,-4.44761707570547e-09,-1.68090756751099e-07,-2.53770406485789e-08
C.paralimentarius,K.humilis,1,6206.47821936775,1.43294599444328,0.177915359353225,0.728410118018891,-1.15651274379592e-07,-2.69549962240806e-11,-2.87269019767225e-08,-1.53444836344363e-07
C.paralimentarius,K.humilis,2,934.448983814375,316.973527663598,0.267237124108255,0.473323922816363,-1.20333700594892e-07,-3.18265259929744e-08,-1.31329672720002e-07,-9.08470324513574e-08
C.paralimentarius,K.humilis,3,6215.24454631876,6131.31207410648,0.13631899709595,0.219863280434727,-1.01613844569079e-07,-3.31195621274189e-11,-1.51662530690017e-07,-1.28854845452362e-08
C.paralimentarius,K.servazzii,1,1461.88764182652,37.3601480179557,0.145566729019282,0.60651051514105,-7.58058625645899e-09,-4.22718514879329e-09,-2.90970015837865e-08,-9.42187566202825e-08
C.paralimentarius,K.servazzii,2,607.445455139262,11189.9372269499,0.154869197414168,0.267956259926096,-1.85495494670809e-09,-3.32078729376763e-09,-2.99518416374804e-10,-4.91117191272996e-08
C.paralimentarius,K.servazzii,3,866.536704759247,210.345641625488,0.151364899581746,0.486141484695878,-3.24421747429128e-09,-1.61984266317813e-09,-3.11973953069707e-10,-7.39524473390508e-08
S.cerevisiae,W.anomalus,1,0.00772576988147711,11.0505268831431,0.660158508188725,0.407931208638908,-5.31721039547462e-09,-8.05453592836095e-08,-2.05001537410735e-09,-4.20455407286046e-08
S.cerevisiae,W.anomalus,2,1391.3998788288,3587.55564479054,0.440439248313599,0.369702600037908,-1.16378695659442e-07,-1.29378418352737e-08,-8.8174225471692e-08,-1.10331432629835e-08
S.cerevisiae,W.anomalus,3,251992.554808504,3393.92879418022,3318.30460652358,0.329632443012467,-0.00170535117902912,-4.77723034411005e-17,-6.8050241044107e-08,-2.96256221718792e-08
S.cerevisiae,K.humilis,1,79.508705311354,3481.64028807227,0.590259056234349,0.352867649256847,-7.9007305094841e-08,-1.85520661202415e-07,-2.32730948731714e-21,-2.09504557847634e-07
S.cerevisiae,K.humilis,2,8311.00875633718,4215.16007988151,0.179457684657644,0.262996336442478,-2.48815706855497e-08,-5.09756486336589e-08,-3.82015606049119e-08,-1.11450726306602e-07
S.cerevisiae,K.humilis,3,0.61834038415082,0.0575608742671698,0.595595699881542,0.624840884041551,-3.46736227301975e-08,-2.70256194365722e-07,-5.59551512362601e-09,-2.99509578818669e-07
S.cerevisiae,K.servazzii,1,5.99316995904153,1383.20636607301,0.529316976531732,0.381468164252969,-1.49591744057112e-07,-6.86487078074475e-09,-7.69504255151171e-08,-1.12001036774056e-07
S.cerevisiae,K.servazzii,2,981.720636930778,7022.9087655206,0.395268925699256,0.341516165673257,-1.54018220717795e-07,-1.16300677763129e-08,-1.61156125647199e-07,-7.74179678638175e-09
S.cerevisiae,K.servazzii,3,8565.22341317642,1263.82904470596,0.272182444489052,0.431053785675543,-1.2323286506582e-07,-1.47137895102748e-08,-2.48063032763882e-07,-1.44789718264731e-08
W.anomalus,K.humilis,1,443.735360504762,135569.523729799,0.327426418580292,0.080999386784369,-3.43836383335775e-08,-1.25969221208168e-10,-5.38533145685996e-09,-4.0467836820244e-10
W.anomalus,K.humilis,2,528.150671547308,1197.38287521572,0.366060749529337,0.334965028173019,-1.06275203793118e-08,-8.8093517639915e-08,-1.77718673786908e-08,-8.13204315522506e-08
W.anomalus,K.humilis,3,7359.84661101633,4544.73417740879,0.260047771072869,0.316933069340871,-2.62250365598043e-08,-6.96949870788302e-09,-1.65888926514203e-08,-9.00014429753449e-08
W.anomalus,K.servazzii,1,1749.64181913611,2579.18216027277,0.338754392367513,0.368313456898312,-3.98590443495193e-08,-3.2332862626169e-08,-6.55003925802921e-08,-4.18031989719413e-08
W.anomalus,K.servazzii,2,5203.73734597553,30702.7043313166,0.232123309620902,0.211304548378116,-2.5245214941862e-08,-3.22218131814349e-08,-1.32035861693869e-07,-5.53927405652853e-09
W.anomalus,K.servazzii,3,1358.16959280416,5925.65716668043,0.346189442641783,0.320926928745743,-3.65015821169951e-08,-6.57345442760233e-08,-3.91037490628309e-08,-1.01158691047738e-07
K.humilis,K.servazzii,1,76975.5596144535,1318.90057248288,0.142623256102925,0.458043551465123,-5.52939809417993e-08,-1.58344916929442e-08,-2.45764063335261e-07,-5.20445844874421e-08
K.humilis,K.servazzii,2,1941.34625965254,8980.98274932811,0.296501202430244,0.205088550345582,-5.57737910625051e-09,-1.59784018182412e-07,-1.91322952180882e-10,-1.02756220057096e-07
K.humilis,K.servazzii,3,28.8040527156916,6432.95800300275,0.366197640060805,0.266916903130763,-1.74668414448303e-07,-4.20672982334299e-09,-1.33477215534325e-07,-8.71615095623205e-08
